account,city,pipeline_code,action_type,priority_rank,recommended_action,contact_info
EVERGREEN MARKET - AUBURN,Auburn,I5,Hot Lead,1,Contact Peter is the buyer - — I5 - Near order / has ordered. Notes: Reached out to Peter to off him a lowered pricing to help entice him to place another order for all ,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - BELLEVUE,Bellevue,I5,Hot Lead,2,Contact Peter is the buyer - — I5 - Near order / has ordered. Notes: Reached out to Peter to off him a lowered pricing to help entice him to place another order for all ,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - KIRKLAND,Kirkland,I5,Hot Lead,3,Contact Peter is the buyer - — I5 - Near order / has ordered. Notes: Reached out to Peter to off him a lowered pricing to help entice him to place another order for all ,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - NORTH RENTON - is now Stonr Cannabis,Renton,I5,Hot Lead,4,Contact Peter is the buyer - — I5 - Near order / has ordered. Notes: Reached out to Peter to off him a lowered pricing to help entice him to place another order for all ,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - RENTON HIGHLANDS,Renton,I5,Hot Lead,5,Contact Peter is the buyer - — I5 - Near order / has ordered. Notes: Reached out to Peter to off him a lowered pricing to help entice him to place another order for all ,Peterp@theevergreenmarket.com / 425-318-8898 - Directory
EVERGREEN MARKET - SOUTH RENTON,Renton,I5,Hot Lead,6,"Contact Peter is the buyer
Tony E is the General Manager — I5 - Near order / has ordered. Notes: 10.10.25 - RM - I reached out to Tony E who I used to work with at Smokey Point. He is the GM of the",Peterp@theevergreenmarket.com / 425-318-8898 - Directory
Floyds  BURLINGTON,Burlington,I5,Hot Lead,7,Contact Myrcedes McGee  is the buyer — I5 - Near order / has ordered. Notes: Reached out to see if we can get a restock of products. 06.10.25,burlington@floydscannabis.co burlingtonfloyds.youcanbook.me  Eric@floydscannabis.co is regional manager/buyer / 360-899-4697
THE GALLERY - GIG HARBOR,Gig Harbor,I5,Hot Lead,8,Contact Joshua is the GM and Buyer — I5 - Near order / has ordered. Notes: Emailed Josh and Shelby to get a feel for how Fireline is selling at the Spanaway location since tha,josh@thegalleryco.com Shelby@thegalleryco.com / (253) 312-6083
THE GALLERY CANYON,Puyallup,I5,Hot Lead,9,Contact Joshua is the GM and Buyer — I5 - Near order / has ordered. Notes: Emailed Josh and Shelby to get a feel for how Fireline is selling at the Spanaway location since tha,josh@thegalleryco.com Shelby@thegalleryco.com / (253) 604-4360
THE GALLERY FIFE,Fife,I5,Hot Lead,10,Contact Joshua is the GM and Buyer — I5 - Near order / has ordered. Notes: Emailed Josh and Shelby to get a feel for how Fireline is selling at the Spanaway location since tha,josh@thegalleryco.com Shelby@thegalleryco.com / (253) 344-1013
THE GALLERY PARKLAND,Tacoma,I5,Hot Lead,11,Contact Joshua is the GM and Buyer — I5 - Near order / has ordered. Notes: Emailed Josh and Shelby to get a feel for how Fireline is selling at the Spanaway location since tha,josh@thegalleryco.com Shelby@thegalleryco.com / (253) 531-4000
THE GALLERY SPANAWAY,Spanaway,I5,Hot Lead,12,Contact Joshua is the GM and Buyer — I5 - Near order / has ordered. Notes: Emailed Josh and Shelby to get a feel for how Fireline is selling at the Spanaway location since tha,josh@thegalleryco.com Shelby@thegalleryco.com / (253) 375-7840
FORBIDDEN CANNABIS CLUB,Carson,I5,Hot Lead,13,"Contact Adam is the buyer — I5 - Near order / has ordered. Notes: Talked to a budtender who let me know that Sonny is the owner, we are not currently in the store at ",fcc.Carson.vendor@gmail.com / (509) 427-5322
CLOUD 9,Arlington,I5,Hot Lead,14,"Contact Kelly Adams is the buyer — I5 - Near order / has ordered. Notes: 10.24.2025 - Richard spoke to Kelly and gave him a run down on the plans for Fireline (Green, Blue, ","kadams.cloud9@gmail.com  arlingtonmanagement.cloud9@gmail.com and Connie at cdauz.cloud9@gmail.com.  For questions regarding billing, please email mturner.cloud9@gmail.com for the fastest resolution. / (360) 322-6167"
FORBIDDEN CANNABIS CLUB SEATTLE,Seattle,I5,Hot Lead,15,Contact Austin is the buyer — I5 - Near order / has ordered. Notes: Emailed updated contact info to Austin 02.11.25 - Reached out to Austin for a restock and to offer F,seattle@forbiddencannabisclub.com / (206) 420-2180
Forbidden Cannabis Club Mount Vernon,Mount Vernon,I5,Hot Lead,16,"Contact Hannah is the Manager, Dee is the buyer — I5 - Near order / has ordered. Notes: Reached out and gave them my new account manager information 02.11.25 - talked to Hannah who is the ",mv@forbiddencannabisclub.com hannahw@forbiddencannabisclub.com / (360) 982-2207
Kush 21 Yakima. LOCAL ROOTS,Yakima,I5,Hot Lead,17,"Contact Arty is the buyer — I5 - Near order / has ordered. Notes: Called and talked to Arty who is still the buyer, Introduced myself and got updated phone number - t",Yakima@Kush21.com. Inventory manager is Inventoryyakima@kush21.com / (509)-426-2436 -Store. Arty cell # (509) 728-0630
MARY MART INC,Tacoma,I5,Hot Lead,18,Contact Mish is the buyer - likes to flirt — I5 - Near order / has ordered. Notes: T is the GM - Emailed for a restock 02.11.25,marymartpurchasing@gmail.com / 253-579-9396
HASHTAG Everett,Everett,I5,Hot Lead,19,Contact Becky is the new purchaser — I5 - Near order / has ordered. Notes: Dash reached out to us to send ACH informatiion and fill out a questionaire about the company. That ,everettpurchasing@betterhashtag.com / (360) 822-9669
HASHTAG Seattle,Seattle,I5,Hot Lead,20,Contact Bailey or Katie are the new purchasers. — I5 - Near order / has ordered. Notes: Dash reached out to us to send ACH informatiion and fill out a questionaire about the company. That ,seattlepurchasing@betterhashtag.com / (206) 946-8157
210 Cannabis,Arlington,R2,At-Risk Active,1,R2 - Active but stale (>90 days). Last contact: 255 days ago. Emailed about a restock NC,scorboy@210cannabisco.com / (360) 572-3500
365 RECREATIONAL CANNABIS,Shoreline,R2,At-Risk Active,2,R2 - Active but stale (>90 days). Last contact: 255 days ago. Emailed Katie to check in and see how Fireline is selling along wtih inquiring a,orders.shoreline@365recreational.com / 206-557-7778
420 CAPITOL,Tumwater,R2,At-Risk Active,3,R2 - Active but stale (>90 days). Last contact: 401 days ago. Reached out with personal email to give updated contact information 01.30.25,champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com
420 CARPENTER,Lacey,R2,At-Risk Active,4,R2 - Active but stale (>90 days). Last contact: 401 days ago. Reached out with personal email to give updated contact information 01.30.25,champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com
420 ELMA ON MAIN,Elma,R2,At-Risk Active,5,R2 - Active but stale (>90 days). Last contact: Never. ,ricciricardo420@gmail.com champagneproducts@gmail.com katreenaj420@gmail.com / 360-402-6368
420 GRAND CENTRAL,Rochester,R2,At-Risk Active,6,R2 - Active but stale (>90 days). Last contact: 401 days ago. Reached out with personal email to give updated contact information 01.30.25,champagneproducts@gmail.com
420 WEST,Olympia,R2,At-Risk Active,7,R2 - Active but stale (>90 days). Last contact: 401 days ago. Reached out with personal email to give updated contact information 01.30.25,champagneproducts@gmail.com
420 HOLIDAY,Longview,R2,At-Risk Active,8,"R2 - Active but stale (>90 days). Last contact: 306 days ago. Talked to Vern who is the new buyer, he wanted the sale price since the customer",420holidaylongview@gmail.com
420 SPOT SHOP - will not do VMI,Port Orchard,R2,At-Risk Active,9,R2 - Active but stale (>90 days). Last contact: 241 days ago. We are doing 20% off and they are putting us on sale every Wednesday,420spotshop@gmail.com / (360) 340-5966 Personal Cell #
A Greener Today - Walla Walla,Walla Walla,R2,At-Risk Active,10,"R2 - Active but stale (>90 days). Last contact: 355 days ago. Talked with Kenny, he let me know it was not a good fit for the shops at this ti",purchasing@agreenertoday.com Kenny@agreenertoday.com / 509-876-8660
ALTITUDE,Prosser,R2,At-Risk Active,11,R2 - Active but stale (>90 days). Last contact: 169 days ago. Emailed Maricruz with account manager contacts 02.07.25,purchasing.altitudemj@gmail.com / 509-786-4200 - store
AMERICAN MARY 45th Wallington,Seattle,R2,At-Risk Active,12,"R2 - Active but stale (>90 days). Last contact: 169 days ago. Emailed Tony about some samples that I woud like to send over, he placed an orde",wallingford@americanmarywa.com / (206) 547-7833 - store
APEX CANNABIS,Moses Lake,R2,At-Risk Active,13,R2 - Active but stale (>90 days). Last contact: 388 days ago. ,Nikala@kush21.com Michelle@kush21.com / (509) 765-4216
BAYSHORE CANNABIS CO,Shelton,R2,At-Risk Active,14,R2 - Active but stale (>90 days). Last contact: 290 days ago. Eamailed Dan with an offer to put everything on sale to get it out of the store ,buyer@bayshorecannabis.com / (360) 426-0675
BETTER BUDS,Longview,R2,At-Risk Active,15,R2 - Active but stale (>90 days). Last contact: 305 days ago. Talked Sean about adding Greenline to the 10% off right now along with Fireline ,betterbudslongview@gmail.com / (360) 703-3791
BORED N BUZZED,Kirkland,R2,At-Risk Active,16,R2 - Active but stale (>90 days). Last contact: 270 days ago. This used to be the old Starbuds Kirkland 03.04.25 - first order placed 06.10.25,Boredandbuzzedjeff@gmail.com
BUDHUT,Camano Island,R2,At-Risk Active,17,R2 - Active but stale (>90 days). Last contact: 276 days ago. Emailed Kimberly with new account manager information 02.10.25,kimberly@budhut.net / 360.629.3480
BUDHUT,Everett,R2,At-Risk Active,18,R2 - Active but stale (>90 days). Last contact: 276 days ago. Emailed Beth with the updated contact info since she is acting GM for all bud hu,heather@budhut.net / 425.353.1449
BUDS GARAGE - no friday deliveries,Everett,R2,At-Risk Active,19,R2 - Active but stale (>90 days). Last contact: 276 days ago. Reacheed out to Bo about how the product is sellng and if they are interested in,icc@budsgarage.com / (425) 321-7740
Cannabis City,Seattle,R1,At-Risk Active,20,R1 - Temp Closed. Last contact: 368 days ago. last order -10.26.20 - got updated buyer information - 11.16.22,buyer@cannabis.city / 206-420-4206
