Status,Confirmed:,Last Contacted:,Retailers:,License #,City:,Contact Buyer:,Phone Number:,Email: ,Delivery window:, Notes:,Price Points:
Active,TRUE,06.25.25,210 Cannabis ,433464,Arlington,Sean is the buyer ,(360) 572-3500, scorboy@210cannabisco.com,https://app.simplymeet.me/scorboy,Emailed about a restock NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/
,TRUE,3.19.25,112TH STREET CANNABIS,423413,PUYALLUP,John - buyer/purchaser for all locations,(253) 446-7437,orders@northshorewa.com,,"Sent an emial to John with new contact, menu and updates. Will follow up and get on the line. - WL",
,TRUE,06.25.25,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,355469,BELLINGHAM,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/ 
,TRUE,06.25.25,2020 SOLUTIONS EPHRATA,422239,EPHRATA,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/ 
,TRUE,06.25.25,2020 SOLUTIONS IRON STREET,415470,BELLINGHAM,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/ 
,TRUE,06.25.25,2020 SOLUTIONS PACIFIC HIGHWAY,420908,BELLINGHAM,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/ 
,TRUE,06.25.25,2020 SOLUTIONS SOAP LAKE,422363,SOAP LAKE,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/ 
,TRUE,06.25.25,28 GRAHAMS CANNABIS,428654,GRAHAM,Tiffany is the buyer,(253) 846-0339, 28grahamscannabis@gmail.com,,Reached out to Tiffany to check in and make sure FireLine is moving well at her store. I offered her a lowered pricing to see if that helps move our products faster and to see if she needs anything.,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  $10 on infused 8pk pre rolls
,TRUE,05.05.25,365 RECREATIONAL CANNABIS,422099,DAYTON,Cait is the buyer,(509) 382-3161,daytonorders@365recreational.com,,Emailed Cait to see how the samples were and if she could offer any feedback along with start an order. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board
Active,TRUE,06.25.25,365 RECREATIONAL CANNABIS,423784,SHORELINE,Katie is the buyer - she works from home,206-557-7778,orders.shoreline@365recreational.com,,Emailed Katie to check in and see how Fireline is selling along wtih inquiring about possibly running a deal to help push our products NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ 
,TRUE,02.27.25,395 HERB,430369,LOON LAKE,,(509) 644-0420,395herb0420@gmail.com,,called but no answer and mailbox is full - call back again ,
,TRUE,02.28.25,4:20 FRIENDLY,413586,SPOKANE,,(509) 844-7287,a420store@gmail.com,,Weird answering machine- emailed the contact from the website with ,
Active,TRUE,01.30.25,420 CAPITOL,424848,TUMWATER,chad is the buyer / owner-,, champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/ 
Active,TRUE,01.30.25,420 CARPENTER,415083,LACEY,chad is the buyer / owner-,, champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/ 
Active,TRUE,,420 ELMA ON MAIN,426678,ELMA,Ricky -buyer and Katreena Johnson store manager are the buying team ,360-402-6368, ricciricardo420@gmail.com champagneproducts@gmail.com katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/ 
Active,TRUE,01.30.25,420 GRAND CENTRAL,428560,ROCHESTER,chad is the buyer / owner-,, champagneproducts@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/ 
Active,TRUE,01.30.25,420 WEST,414733,OLYMPIA,chad is the buyer / owner-,, champagneproducts@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/ 
