retailer,license,city,region,status,confirmed,pipeline_code,pipeline_label,completeness_score,price_tier,last_contacted,has_email,has_phone,has_pricing,has_buyer_name,is_duplicate
210 Cannabis,433464,Arlington,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),7,premium,2025-06-25,Yes,Yes,Yes,Yes,No
112TH STREET CANNABIS,423413,Puyallup,South Sound,(blank),true,I2,I2 - Contacted/has notes,5,unknown,2025-03-19,Yes,Yes,No,Yes,No
2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,355469,Bellingham,NW Washington,(blank),true,I4,I4 - Samples sent,5,standard,2025-06-25,Yes,No,Yes,Yes,No
2020 SOLUTIONS EPHRATA,422239,Ephrata,Eastern WA,(blank),true,I4,I4 - Samples sent,5,standard,2025-06-25,Yes,No,Yes,Yes,No
2020 SOLUTIONS IRON STREET,415470,Bellingham,NW Washington,(blank),true,I4,I4 - Samples sent,5,standard,2025-06-25,Yes,No,Yes,Yes,No
2020 SOLUTIONS PACIFIC HIGHWAY,420908,Bellingham,NW Washington,(blank),true,I4,I4 - Samples sent,5,standard,2025-06-25,Yes,No,Yes,Yes,No
2020 SOLUTIONS SOAP LAKE,422363,Soap Lake,Eastern WA,(blank),true,I4,I4 - Samples sent,5,standard,2025-06-25,Yes,No,Yes,Yes,No
28 GRAHAMS CANNABIS,428654,Graham,South Sound,(blank),true,I2,I2 - Contacted/has notes,6,standard,2025-06-25,Yes,Yes,Yes,Yes,No
365 RECREATIONAL CANNABIS,422099,Dayton,South Sound,(blank),true,I5,I5 - Near order / has ordered,6,premium,2025-05-05,Yes,Yes,Yes,Yes,No
365 RECREATIONAL CANNABIS,423784,Shoreline,Seattle Metro,Active,true,R2,R2 - Active but stale (>90 days),6,premium,2025-06-25,Yes,Yes,Yes,Yes,No
395 HERB,430369,Loon Lake,Eastern WA,(blank),true,I2,I2 - Contacted/has notes,4,unknown,2025-02-27,Yes,Yes,No,No,No
