status,confirmed,last_contacted,retailer,license,city,contact,phone,email,delivery,notes,price_points,pipeline_code,pipeline_label,region,completeness_score,price_tier
Active,true,2025-06-25,210 Cannabis,433464,Arlington,Sean is the buyer,(360) 572-3500,scorboy@210cannabisco.com,https://app.simplymeet.me/scorboy,Emailed about a restock NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,R2,R2 - Active but stale (>90 days),Seattle Metro,7,premium
,true,2025-03-19,112TH STREET CANNABIS,423413,Puyallup,John - buyer/purchaser for all locations,(253) 446-7437,orders@northshorewa.com,,"Sent an emial to John with new contact, menu and updates. Will follow up and get on the line. - WL",,I2,I2 - Contacted/has notes,South Sound,5,unknown
,true,2025-06-25,2020 CANNABIS SOLUTIONS MT BAKER HIGHWAY,355469,Bellingham,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/,I4,I4 - Samples sent,NW Washington,5,standard
,true,2025-06-25,2020 SOLUTIONS EPHRATA,422239,Ephrata,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/,I4,I4 - Samples sent,Eastern WA,5,standard
,true,2025-06-25,2020 SOLUTIONS IRON STREET,415470,Bellingham,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/,I4,I4 - Samples sent,NW Washington,5,standard
,true,2025-06-25,2020 SOLUTIONS PACIFIC HIGHWAY,420908,Bellingham,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/,I4,I4 - Samples sent,NW Washington,5,standard
,true,2025-06-25,2020 SOLUTIONS SOAP LAKE,422363,Soap Lake,Ryan is the buyer,,ryan.christianson@i502solutions.com,,"Reached out to Ryan about potentially getting some more samples sent and to see if we cant get our partnership rekindled. NC - Ryan was very happy with the pricing and woud love some samples, we will get those ready today and sent out next week! NC",$2.50-1g /$8.00 - 3.5g/ $32 - 14g/ $64 - 28g/,I4,I4 - Samples sent,Eastern WA,5,standard
,true,2025-06-25,28 GRAHAMS CANNABIS,428654,Graham,Tiffany is the buyer,(253) 846-0339,28grahamscannabis@gmail.com,,Reached out to Tiffany to check in and make sure FireLine is moving well at her store. I offered her a lowered pricing to see if that helps move our products faster and to see if she needs anything.,$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  $10 on infused 8pk pre rolls,I2,I2 - Contacted/has notes,South Sound,6,standard
,true,2025-05-05,365 RECREATIONAL CANNABIS,422099,Dayton,Cait is the buyer,(509) 382-3161,daytonorders@365recreational.com,,Emailed Cait to see how the samples were and if she could offer any feedback along with start an order. NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ concentrates $8.00 across the board,I5,I5 - Near order / has ordered,South Sound,6,premium
Active,true,2025-06-25,365 RECREATIONAL CANNABIS,423784,Shoreline,Katie is the buyer - she works from home,206-557-7778,orders.shoreline@365recreational.com,,Emailed Katie to check in and see how Fireline is selling along wtih inquiring about possibly running a deal to help push our products NC,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/,R2,R2 - Active but stale (>90 days),Seattle Metro,6,premium
,true,2025-02-27,395 HERB,430369,Loon Lake,,(509) 644-0420,395herb0420@gmail.com,,called but no answer and mailbox is full - call back again,,I2,I2 - Contacted/has notes,Eastern WA,4,unknown
,true,2025-02-28,4:20 FRIENDLY,413586,Spokane,,(509) 844-7287,a420store@gmail.com,,Weird answering machine- emailed the contact from the website with,,I2,I2 - Contacted/has notes,Eastern WA,4,unknown
Active,true,2025-01-30,420 CAPITOL,424848,Tumwater,chad is the buyer / owner-,,champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,6,standard
Active,true,2025-01-30,420 CARPENTER,415083,Lacey,chad is the buyer / owner-,,champagneproducts@gmail.com  Katreena Johnson <katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,6,standard
Active,true,,420 ELMA ON MAIN,426678,Elma,Ricky -buyer and Katreena Johnson store manager are the buying team,360-402-6368,ricciricardo420@gmail.com champagneproducts@gmail.com katreenaj420@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,5,standard
Active,true,2025-01-30,420 GRAND CENTRAL,428560,Rochester,chad is the buyer / owner-,,champagneproducts@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/,R2,R2 - Active but stale (>90 days),Other/Unclassified,6,standard
Active,true,2025-01-30,420 WEST,414733,Olympia,chad is the buyer / owner-,,champagneproducts@gmail.com,Take orders from 8am until closing if needed - try and get there before 10pm - monday -sunday,Reached out with personal email to give updated contact information 01.30.25,$2.50-1g /$8.00 - 3.5g/ $30 - 14g/ $60.00 - 28g/,R2,R2 - Active but stale (>90 days),South Sound,6,standard
Active,true,2025-05-05,420 HOLIDAY,415526,Longview,Matt is the buyer,,420holidaylongview@gmail.com,call ahead if after 4pm - they take orders monday - Friday - they will do weekends but it needs to be scheduled,"Talked to Vern who is the new buyer, he wanted the sale price since the customers were used to that pricing, i gave it to him with the infused 8pk price I had given Matt. He was happy NC",$2.50-1g /$8.50 - 3.5g/ $34 - 14g/ $68.00 - 28g/  $10 on infused 8pk pre rolls,R2,R2 - Active but stale (>90 days),SW Washington,6,standard
Active,true,2025-07-09,420 SPOT SHOP - will not do VMI,414550,Port Orchard,DeLynn is the buyer,(360) 340-5966 Personal Cell #,420spotshop@gmail.com,Monday through Friday 8am until 6pm and they woudl apprectiate mornings if we can.,We are doing 20% off and they are putting us on sale every Wednesday,$3.00-1g /$10.00 - 3.5g/ $38 - 14g/ $75.00 - 28g/ 20% off every order.,R2,R2 - Active but stale (>90 days),Peninsula/Islands,7,premium
